Language,String,Marathi,Hindi,Malayalam ,Nepali,Bengali,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu
Image 11,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,भारतात पसरलेला कोरोनाविषाणू इतरांपेक्षा कमी प्रभावशाली आहे.,"   भारत मे पाया गया नया कोरोना विषाणु कम खतरनाक है।",ഇന്ത്യയിലെ കൊറോണ വൈറസ് ഇനം അപകടം കുറഞ്ഞതാണ്.,"भारतमा भेटिएको नोबेल कोरोना भाईरस कम हानिकारक छ।","ভারতে যে বিশেষ প্রকৃতির নভেল করোনা ভাইরাসটি এসেছে, সেটি কম মারাত্মক।",ભારતમાં નવલ કોરોનાવાયરસ વિવિધતા ઓછી જોખમી છે.,ਭਾਰਤ ਵਿਚ ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਦੀ ਕਿਸਮ ਘੱਟ ਮਾਰੂ ਹੈ.,," ଭାରତରେ ସଂକ୍ରମିତ ନୋଭେଲ କରୋନା ଭାଇରସ୍ କମ ବିପଜ୍ଜନକ ଅଟେ |
",భారత్ లో ఉన్న ఈ కొత్త కరోనావైరస్ వెరైటీలు తక్కువ ప్రమాదకరమైనవి.,ಭಾರತದಲ್ಲಿರುವ ಈ ಹೊಸ ಕೊರೊನಾವೈರಸ್ ನ ಪ್ರಭೇದ ಕಡಿಮೆ ಅಪಾಯಕಾರಿ.,ভাৰতত পোৱা নতুন কৰণা ভাইৰাছ কম বিপদজনক।,U jait novel coronavirus ha India um da don jingma than.,نئے کورونا وائرس کی اقسام ہندوستان میں کم خطرناک ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,पुरेसा पुरावा नाही,पर्याप्त सबूत नहीं है,മതിയായ തെളിവുകൾ ഇല്ല,"पर्याप्त प्रमाण छैन।",কোনো প্রমাণ নেই।,કોઈ પુરાવા નથી,ਸ਼ਾਇਦ ਗਲਤ,போதுமான சான்றுகள் தற்போது இல்லை,ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ,తగిన ఆధారాలు లేవు,ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ,পর্যাপ্ত প্ৰমাণ নাই,ym don ki sakhi kiba biang,اسکا کوئی ثبوت نہیں
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,"संशोधकांच्या एका गटाने असा दावा केला आहे की भारतात पसरलेला कोरोना विषाणू हा कमी प्रभावशाली आहे. परंतु, हा संशोधन अहवाल फारच तुटपुंज्या माहितीवर (विषाणूच्या केवळ एका नमुन्यात आढळलेले केवळ काही बदल) आधारित असल्याने कोणत्याही निष्कर्षापर्यंत पोचणे घाईचे ठरेल. या बदलांचा विषाणूसंसर्गावर होणाऱ्या परिणामांचा अभ्यास अजून कोणीही केलेला नाही. भारतात या संदर्भात अजून भरपूर संशोधन करण्याची गरज आहे.","यह सत्य है कि एक शोधपत्रिका में यह दावा किया गया है कि भारत मे पाया जाने वाला कोरोना विषाणु कमजोर है. परन्तु यह दावा बहुत ही कम जानकारी के आधार पर किया गया है (मात्र एक विषाणु के परिक्षण में पाए गए कुछ परिवर्तन). इस बात पर भी अभी तक कोई अनुसंधान नहीं किया गया है कि इस परिवर्तन से इस विषाणु की मानवों को संक्रमित करने की  क्षमता पर क्या प्रभाव पड़ा है। इसलिए ऐसा दावा करने से पहले भारत में इस विषय पर अधिक अनुसंधान होने की  आवश्यकता है। 
",ഒരു പഠനം ഇന്ത്യയിലെ വൈറസ് ദുർബലമാണെന്ന് അവകാശപ്പെടുന്നുണ്ട്.  ഈ വാദം ഒരൊറ്റ വൈറൽ ജീനോം സീക്വൻസിനെ അടിസ്ഥാനമാക്കിയുള്ളതാണ് - ഇന്ത്യയിൽ നിലവിലുള്ള കേസുകളിൽ ചിലതിനെങ്കിലും ഈ വീര്യം കുറഞ്ഞ വൈറസ്  ഇനം കാരണമാണോ എന്ന് മനസിലാക്കുന്നതിന്  പോലും വളരെയധികം പഠനങ്ങൾ നടത്തേണ്ടതുണ്ട്! ,"एउटा अध्ययनले दावी गरेको छ कि भारतमा देखिएको कोरोन भाईरस कमजोर छ। तथापी, अहिले नै यस्तो निस्कर्ष निकाल्नु मुर्खता हुन्छ, किनकि यो केवल एउटा मात्रै तथ्यांक (एउटा भाइरल जीनोममा भएको म्युटेसन) को आधारमा गरिएको दावी हो। साथै यो म्युटसनले ","একটি মাত্র পরীক্ষা দাবী করেছে ভারতে উপস্থিত ভাইরাসটি 'দুর্বল'। তবে শুধুমাত্র 
তার ওপর ভিত্তি করেই এখনি কিছু বলা সম্ভব নয়, কারণ খুব স্বল্প পরিমাণ তথ্য 
(একটি মাত্র ভাইরাল জিনোম এর কয়েকটি মিউটেশান) নিয়েই এই কাজটি  করা হয়েছে। সবচেয়ে গুরুত্বপূর্ণ হল যে ওই বিশেষ মিউটেশানগুলি ভাইরাসটির মতই মানুষের শরীরকে আক্রমণ করে কি না তা এখনো যাচাই করা হয়নি। ভারতবর্ষে আরও কাজ হওয়া প্রয়োজন এই বিষয়টি নিয়ে।
","એક અધ્યયનમાં દાવો કરવામાં આવ્યો છે કે ભારતમાં વાયરસ ‘નબળો’ છે. જોકે, આ દાવો કરવો અકાળ છે, કારણ કે તે ખૂબ ઓછા ડેટા પર આધારિત છે (થોડા પરિવર્તનો સાથેનો એક વાયરલ જિનોમ); અને કોઈએ પરીક્ષણ કર્યું નથી કે શું આ પરિવર્તનોથી વાયરસ મનુષ્યને કેવી રીતે ચેપ લગાવે છે તેની અસર પડે છે. આપણે ભારતમાં ઘણું વધારે કામ કરવાની જરૂર છે!","ਇੱਕ ਅਧਿਐਨ ਵਿੱਚ ਦਾਅਵਾ ਕੀਤਾ ਗਿਆ ਹੈ ਕਿ ਭਾਰਤ ਵਿੱਚ ਵਾਇਰਸ ‘ਕਮਜ਼ੋਰ’ ਹੈ। ਹਾਲਾਂਕਿ, ਇਹ ਦਾਅਵਾ ਕਰਨਾ ਸਮੇਂ ਤੋਂ ਪਹਿਲਾਂ ਹੈ, ਕਿਉਂਕਿ ਇਹ ਬਹੁਤ ਘੱਟ ਡੇਟਾ 'ਤੇ ਅਧਾਰਤ ਹੈ. ਸਾਨੂੰ ਭਾਰਤ ਵਿਚ ਹੋਰ ਬਹੁਤ ਸਾਰੇ ਕੰਮ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ!","ஒரு ஆய்வு இந்தியாவில் பரவும் வைரஸ் வலிமை குன்றிய வீச்சு கொண்டது என கூறுகிறது. ஒரு சில மரபணு தீடீர் மாற்றம் ஏற்பட ஒரே ஒரு வைரஸ் மரபணுத்தொகுதியை வைத்து, வெகு குறைவான தரவுகளின் அடிப்படையில் இந்த முடிவு அமைவதால் அதனை
உறுதியாக ஏற்க இயலாது. மேலும் இந்த தீடீர் மாற்றங்களின் விளைவாக அந்த வைரஸ் மனிதர்களை தொற்றும் வீச்சில் எதாவது மாற்றங்கள் உள்ளனவா என ஆராய்ச்சி எதுவும் மேற்கொள்ளப்படவில்லை. மேலதிக ஆய்வுகளை இந்தியாவில் நாம் மேற்கொள்ள வேண்டும்.
","ଏକ ଅଧ୍ୟୟନ ଦାବି କରିଛି ଯେ ଭାରତରେ ଏହି ଭୂତାଣୁ ଦୁର୍ବଳ ଅଟେ। ତଥାପି, ଏହା ଦାବି କରିବା ସମୟପୋଯୋଗୀ ନୁହେଁ  କାରଣ ଏହା ବହୁତ କମ୍ ତଥ୍ୟ (ଅଳ୍ପ କିଛି ମ୍ୟୁଟେସନ ସହିତ ମାତ୍ର ଗୋଟିଏ ଭାଇରାଲ୍ ଜିନୋମ୍) ଉପରେ ଆଧାରିତ। ଏବଂ କୋରୋନାବାଇରସ ର ଏହି ପରିବର୍ତ୍ତନଗୁଡିକ  ମଣିଷ ଶରୀରରେ  କିପରି ପ୍ରଭାବିତ କରେ, ତାହା କେହି ପରୀକ୍ଷା କରି ନାହାଁନ୍ତି। ଭାରତରେ ଆମକୁ ଆହୁରି ଅଧିକ କାମ କରିବାକୁ ପଡିବ !
","భారత్ లో వైరస్ ' బలహీన ' పడిందని ఒక అధ్యయనం ఆరోపించింది. అయితే, ఇది నిజం అనటానికి తగినన్ని ఆధారాలు లేవు, ఎందుకంటే ఇది చాలా తక్కువ పరిశోధన (కొన్ని ఉత్పరివర్తనాలతో ఒక ఒకే వైరస్ జన్యురాశి) ఆధారంగా ఉంది; ఈ ఉత్పరివర్తనం వల్ల వైరస్ లు ఎలా సోకుతాయో మరియు ఎలా ప్రభావితం చేస్తాయో ఇంకా ఎవరికీ పరీక్ష చేయలేదు. భారతదేశంలో చేయవలసిన పరిశోధన మరియు ప్రయోగాలు ఇంకా చాలా అవసరం!","ಭಾರತದಲ್ಲಿರುವ ವೈರಸ್ ‘ದುರ್ಬಲ’ ಎಂದು ಒಂದು ಅಧ್ಯಯನ ಹೇಳಿದೆ. ಆದರೂ, ಈ ಫಲಿತಾಂಶ ಬಹಳ ಕಡಿಮೆ ಮಾಹಿತಿಯನ್ನು ಆಧರಿಸಿದೆ (ಕೆಲವು ರೂಪಾಂತರಗಳನ್ನು ಹೊಂದಿರುವ ಒಂದೇ ವೈರಲ್ ಜೀನೋಮ್); ಮತ್ತು ಈ ರೂಪಾಂತರಗಳು ವೈರಸ್ ಮನುಷ್ಯರಿಗೆ ಹೇಗೆ ಸೋಂಕು ತಗುಲಿಸುತ್ತದೆ ಎಂಬುದನ್ನು ಯಾರೂ ಪರೀಕ್ಷಿಸಿಲ್ಲ. ಭಾರತದಲ್ಲಿ ಇನ್ನೂ ಹೆಚ್ಚಿನ ಅಧ್ಯನಗಳು ಬೇಕು!",এটা সমীক্ষাই কৈছে যে ভাৰতত পোৱা COVID-19 দুৰ্বল। কিন্তু ই সম্পূৰ্ণৰূপে ভৰসাৰ যোগ্য নহয় কাৰণ তথ্যৰ পৰিমাণ বহুতেই কম আছিল (মাত্ৰ এটা ভাইৰেল জিনোম আৰু কিছু উৎপৰিৱৰ্তন (mutation)); আৰু এইটো কোনেও পৰীক্ষা কৰা নাই যে এনেবোৰ mutation এ মানুহৰ দেহত ভাইৰাছতোৰ প্ৰভাৱ কেনেদৰে পেলায়। ভাৰতত আৰু বহুতো সমীক্ষা আৰু প্ৰয়োগৰ দৰকাৰ আছে।,"Kawei ka wad bniah ka kam ba u virus ha India u ‘tlot bor’. Hynrei, ka dang kloi palat ban kam kumtei, namar їa kane la pynshong nongrim tang ha ki data ba dang duna bha (ka jingsaphriang jong iwei i phniang virus ha ki jingkylla dur ba malu mala); bad ym pat don mano mano ba test halor kumno ba kine ki jingkylla dur ki ktah lane їabit ha ki briew. Ngi dang donkam shibun ka jingwad bniah ha India.",ایک دعویٰ ہےکہ ہندوستان میں یہ وائرس کمزور ہے۔البتہ اس طرح کا دعویٰ بہت ہی شروعاتی دور کا ہے ، کیونکہ یہ بہت ہی کم اعداد و شمار پر منحصر ہے ( ایک واحد وائرل جینوم کے ساتھ کچھ تغیر) ؛ اور کسی نے بھی اس بات کی تحقیق نہیں کی ہے کہ یہ تغیر انسانوں کو کس طرح سے متاثر کرتا ہے۔ ہمیں ابھی ہندوستان میں اس پر بہت کام کرنے کی ضرورت ہے۔
Image 12,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,डास चावण्यामुळे कोविड-१९ चा प्रसार होतो.,कोविड -19 का प्रसार मच्छरों के काटने से होता है।,കൊതുക്  കടിയിലൂടെ കോവിഡ്-19 പടരുന്നു,"कोभिड-१९ लामखुट्टेको टोकाईबाट सर्दछ।",কোভিড-১৯ মশার কামড়ের মাধ্যমে প্রসারিত হয়।,કોવિડ -19 મચ્છરના કરડવાથી ફેલાય છે.,ਕੋਵਿਡ -19 ਮੱਛਰ ਦੇ ਚੱਕ ਨਾਲ ਫੈਲਦਾ ਹੈ.,கொசுக்களினால் கொரோனா வைரஸ் பரவும்," COVID-19 ମଶା କାମୁଡ଼ିବା ଦ୍ୱାରା ବ୍ୟାପିଥାଏ |
",కోవిడ్-19 దోమకాటు ద్వారా మరియు ఈగల ద్వారా వ్యాప్తి చెందుతుంది.,COVID-19 ಸೊಳ್ಳೆಯ ಮೂಲಕ ಹರಡುತ್ತದೆ.,মহৰ কামোৰত COVID-19 সংক্ৰমিত হয়।,U COVID-19 u saphriang bad pur na ka jingkynthah ki skaiñ pyrjong.,کوویڈ – ١٩ مچھر کے کانٹنے سے پھیلتا ہے
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!,"सत्य होइन।
",সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,"कोविड-१९ हा श्वसनयंत्रणेचा रोग आहे, जो एका व्यक्तीपासून दुसऱ्याला होऊ शकतो. डेंग्यू किंवा हिवतापाप्रमाणे डास चावल्याने हा रोग पसरत नाही.","कोविड-19 श्वसन प्रणाली का रोग है, जो एक व्यक्ति से दुसरे व्यक्ति तक फैलता है।  यह मच्छरों के काटने से फैलने वाले रोगों से, जैसे मलेरिया और डेंगू, बहुत अलग है। यह इस बात का कोई प्रमाण नहीं है कि यह रोग मच्छरों के काटने से फैलता है। 

","കൊതുകുകടിയിലൂടെ പകരുന്ന മലേറിയ അല്ലെങ്കിൽ ഡെങ്കിയിൽ നിന്ന് വ്യത്യസ്തമായി, ഒരു വ്യക്തിയിൽ നിന്ന് മറ്റൊരാളിലേക്ക് പകരുന്ന ഒരു ശ്വാസകോശ സംബന്ധമായ രോഗമാണ്  കോവിഡ്-19. നോവൽ കൊറോണ വൈറസ് കൊതുകുകളിലൂടെ പകരുന്നുവെന്നതിനു തെളിവുകളൊന്നുമില്ല.","कोभिड-१९ एक स्वास-प्रस्वास सम्बन्धि रोग हो जुन एक व्यक्तिबाट अर्को व्यक्तिमा खोक्दा, हाछ्यु गर्दा, आदिबाट सर्दछ। लामखुट्टेको टोकाईबाट सर्ने रोगहरु जस्तै मलेरिया वा डेंगुभन्दा यो रोग फरक हो। हालसम्म लामखुट्टेले नोवेल कोरोना भाईरस सारेको कुनै प्रमाण भेटिएको छैन।","কোভিড-১৯ একটি শ্বাসপ্রক্রিয়া সম্বন্ধিত রোগ যা মানুষ থেকে মানুষে প্রবাহিত হয়। 
এটি ম্যালেরিয়া বা ডেঙ্গুর মতো নয়, যা মশার কামড়ের মাধ্যমে ছড়ায়। মশার 
মাধ্যমে করোনা ভাইরাস ছড়ানোর কোনো প্রমাণ এখনও পর্যন্ত পাওয়া যায়নি।",કોવિડ-19 એ શ્વસન રોગ છે જે એક વ્યક્તિથી બીજા વ્યક્તિ સુધી પસાર થાય છે - મલેરિયા અથવા ડેન્ગ્યુથી વિપરીત જે મચ્છરના કરડવાથી ફેલાય છે. આ નવલ કોરોનાવાયરસ ફેલાવતા મચ્છરોના કોઈ પુરાવા નથી.,ਕੋਵਿਡ -19 ਇਕ ਸਾਹ ਦੀ ਬਿਮਾਰੀ ਹੈ ਜੋ ਇਕ ਵਿਅਕਤੀ ਤੋਂ ਦੂਜੀ ਵਿਚ ਜਾਂਦੀ ਹੈ. ਇਹ ਮਲੇਰੀਆ ਜਾਂ ਡੇਂਗੂ ਤੋਂ ਵੱਖਰਾ ਹੈ ਜੋ ਮੱਛਰ ਦੇ ਚੱਕ ਨਾਲ ਫੈਲਦਾ ਹੈ. ਇਸ ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਨੂੰ ਫੈਲਾਉਣ ਵਾਲੇ ਮੱਛਰਾਂ ਦਾ ਕੋਈ ਸਬੂਤ ਨਹੀਂ ਹੈ.,"கொசுக்களால் புதிய (நாவல்) கொரோனா வைரஸ் கிருமிகள் பரவும் என்பதற்கு எந்தவித அடிப்படை சான்றும் இல்லை. இந்த சுவாச மண்டல நோய்க்கிருமி இருமல், தும்மலால் ஏற்படும் நீர்த்துளிகளால் பரவும் அல்லது எச்சிலால் அல்லது மூக்கில் இருந்து வடியும் நீரால் பரவும். கொசுக்கடியினால் இந்த கிருமி பரவாது.","କୋଭିଡ-19 ହେଉଛି ଏକ ପ୍ରକାର ଶ୍ୱାସ ରୋଗ ଯାହା ଜଣେ ବ୍ୟକ୍ତିଙ୍କଠାରୁ ଅନ୍ୟ ଜଣକୁ ବ୍ୟାପୀଥାଏ - ମ୍ୟାଲେରିଆ କିମ୍ବା ଡେଙ୍ଗୁ ପରି ନୁହେଁ ଯାହା ମଶା କାମୁଡ଼ାରୁ ବ୍ୟାପିଥାଏ | ମଶାମାନେ ଏହି ନୋଭେଲ କରୋନାଭାଇରସ୍ ବିସ୍ତାର କରୁଥିବାର କୌଣସି  ପ୍ରମାଣ ନାହିଁ |
","కోవిడ్-19 అనేది ఒక శ్వాస సంబంధిత వ్యాధి, ఇది ఒక వ్యక్తి నుండి మరోవ్యక్తికి వెళుతుంది-మలేరియా లేదా డెంగ్యూ మాత్రమే దోమ కాటు నుండి వ్యాప్తి చెందుతాయి. ఈ కొత్త కరోనా వైరస్ దోమలు మరియి ఈగలు నుండి వ్యాప్తి చెందుతుంది అనడానికి ఇప్పటివరకు ఏ ఆధారాలు లేవు.",COVID-19 ಎನ್ನುವುದು ವ್ಯಕ್ತಿಯಿಂದ ವ್ಯಕ್ತಿಗೆ ಹರಡುವ ಉಸಿರಾಟದ ಕಾಯಿಲೆಯಾಗಿದೆ - ಸೊಳ್ಳೆ ಕಡಿತದಿಂದ ಹರಡುವ ಮಲೇರಿಯಾ ಅಥವಾ ಡೆಂಗ್ಯೂಗಿಂತ ಭಿನ್ನವಾಗಿ. ಈ ಹೊಸ ಕೊರೊನಾವೈರಸ್ ಅನ್ನು ಸೊಳ್ಳೆಗಳು ಹರಡಿದ ಬಗ್ಗೆ ಯಾವುದೇ ಪುರಾವೆಗಳಿಲ್ಲ.,"COVID-19 এবিধ শ্বসন প্ৰণালীৰ সৈতে জড়িত ৰোগ যি ইজনৰ পৰা সিজনলৈ বিয়পে। ডেংগু, মেলেৰিয়া আদিৰ দৰে ই মহৰ কামোৰৰ দ্বাৰা নিবিয়পে। মহৰ দ্বাৰা COVID-19 ৰ সংক্ৰমণ হোৱাৰ কোনো প্ৰমাণ এতিয়ালৈকে নাই।","Ka COVID-19 ka dei ka jingpang kaba їabit lyngba kaba ring bad pynhiar mynsiem kaba pur na uwei u briew sha uwei pat, ym kum ka malaria bad dengue kaba saphriang na ka jingkynthat ki skaiñ pyrjong. Ym don ki jingshisha ban sakhi ba ki skaiñ pyrjong ki pynphriang їa une u novel coronavirus.",کوویڈ – ١٩ ایک تنفسی(سانس کی) بیماری ہے جو شخص در شخص پھیلتی ہے - نا کہ ملیریا اور ڈینگو جو کہ مچھر کے کانٹنے سے پھیلتی ہے- ایسا کوئی ثبوت نہیں ہے کہ نیا کورونا وائرس مچھر کے کانٹنے سے پھیل رہا ہے۔
Image 13,1,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,कोविड-१९ चा प्रसार पाळीव प्राण्यांमधून होतो.,कोविड -19 बीमारी पालतू जानवरों से फैलती है।, വളർത്തുമൃഗങ്ങളിലൂടെ കോവിഡ്-19 പടരുന്നു.:,"कोभिड-१९ घरपालुवा जनवारबाट सर्दछ।",কোভিড-১৯ পোষ্য প্রাণীদের মাধ্যমে প্রসারিত হয়।,કોવિડ -19 પાલતુ પ્રાણીઓમાં ફેલાય છે.,ਕੋਵਿਡ -19 ਪਾਲਤੂ ਜਾਨਵਰਾਂ ਦੁਆਰਾ ਫੈਲਦਾ ਹੈ.,"நாய்கள், பூனைகள் மற்றும் செல்லப் பிராணிகள் கொரோனா வைரஸைப் பரப்புமா?
"," COVID-19 ଗୃହପାଳିତ ପଶୁମାନଙ୍କ ମାଧ୍ୟମରେ ବ୍ୟାପିଥାଏ |",కోవిడ్-19 వ్యాధి పెంపుడు జంతువుల ద్వారా వ్యాప్తి చెందుతుంది.,COVID-19 ಸಾಕು ಪ್ರಾಣಿಗಳ ಮೂಲಕ ಹರಡುತ್ತದೆ.,COVID-19 পোহনীয়া জীৱ-জন্তুৰ দ্বাৰা বিয়পে।,Ka COVID-19 ka saphriang lyngba ki mrad ba ri ha їing.,کوویڈ – ١٩ پالتو جانوروں سے پھیلتا ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!:,"सत्य होइन।",সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
